gemnr;gemeente;aantal;bevaant;aantal per 100.000 inwoners
-1;* bij 200 personen is de woonplaats niet van bekend;99;;
518;'s-gravenhage;63;537833;11.7
796;'s-hertogenbosch;67;154205;43.4
1680;aa en hunze;1;25386;3.9
358;aalsmeer;9;31728;28.4
197;aalten;1;27011;3.7
59;achtkarspelen;0;27852;0
482;alblasserdam;4;20069;19.9
613;albrandswaard;18;25271;71.2
361;alkmaar;20;108558;18.4
141;almelo;8;72849;11
34;almere;21;207904;10.1
484;alphen aan den rijn;20;110986;18
1723;alphen-chaam;15;10149;147.8
1959;altena;28;55386;50.6
60;ameland;0;3673;0
307;amersfoort;44;156286;28.2
362;amstelveen;33;90838;36.3
363;amsterdam;250;862965;29
200;apeldoorn;29;162445;17.9
3;appingedam;0;11721;0
202;arnhem;23;159265;14.4
106;assen;5;67963;7.4
743;asten;6;16710;35.9
744;baarle-nassau;1;6847;14.6
308;baarn;2;24767;8.1
489;barendrecht;15;48673;30.8
203;barneveld;12;57971;20.7
888;beek;9;15929;56.5
1954;beekdaelen;29;35727;81.2
370;beemster;1;9748;10.3
889;beesel;6;13519;44.4
1945;berg en dal;35;34798;100.6
1724;bergeijk;5;18491;27
893;bergen (l);1;13140;7.6
373;bergen (nh);12;29974;40
748;bergen op zoom;12;66811;18
1859;berkelland;2;43904;4.6
1721;bernheze;67;30806;217.5
753;best;17;29821;57
209;beuningen;13;25882;50.2
375;beverwijk;11;41176;26.7
1728;bladel;14;20175;69.4
376;blaricum;4;11202;35.7
377;bloemendaal;13;23410;55.5
1901;bodegraven-reeuwijk;5;34462;14.5
755;boekel;42;10588;396.7
1681;borger-odoorn;0;25372;0
147;borne;8;23210;34.5
654;borsele;4;22800;17.5
756;boxmeer;9;29065;31
757;boxtel;15;30747;48.8
758;breda;167;183873;90.8
501;brielle;1;17182;5.8
1876;bronckhorst;7;36212;19.3
213;brummen;4;20698;19.3
899;brunssum;17;28103;60.5
312;bunnik;6;15192;39.5
313;bunschoten;1;21576;4.6
214;buren;6;26568;22.6
502;capelle aan den ijssel;13;66818;19.5
383;castricum;10;35772;28
109;coevorden;15;35483;42.3
1706;cranendonck;23;20440;112.5
1684;cuijk;6;24931;24.1
216;culemborg;8;28555;28
148;dalfsen;11;28499;38.6
1891;dantumadiel;0;18923;0
310;de bilt;27;42824;63
1940;de fryske marren;8;51430;15.6
736;de ronde venen;8;44059;18.2
1690;de wolden;3;24110;12.4
503;delft;17;103163;16.5
10;delfzijl;1;24716;4
400;den helder;5;55604;9
762;deurne;25;32362;77.3
150;deventer;20;99957;20
384;diemen;4;29196;13.7
1774;dinkelland;17;26350;64.5
221;doesburg;4;11148;35.9
222;doetinchem;8;57555;13.9
766;dongen;4;26051;15.4
505;dordrecht;23;118654;19.4
498;drechterland;3;19597;15.3
