2020-03-31 21:08:25.587708
gemnr;gemeente;aantal;bevaant;aantal per 100.000 inwoners
796;'s-hertogenbosch;67;155113;43.2
1680;aa en hunze;1;25453;3.9
358;aalsmeer;5;31857;15.7
197;aalten;1;27117;3.7
59;achtkarspelen;0;27836;0
482;alblasserdam;2;20165;9.9
613;albrandswaard;4;25589;15.6
361;alkmaar;19;109444;17.4
141;almelo;8;73080;10.9
34;almere;46;211840;21.7
484;alphen aan den rijn;29;111889;25.9
1723;alphen-chaam;9;10213;88.1
1959;altena;17;55980;30.4
60;ameland;0;3718;0
307;amersfoort;24;157279;15.3
362;amstelveen;28;91691;30.5
363;amsterdam;244;872779;28
200;apeldoorn;19;163829;11.6
3;appingedam;1;11644;8.6
202;arnhem;28;161368;17.4
106;assen;5;68606;7.3
743;asten;4;16734;23.9
744;baarle-nassau;1;6860;14.6
308;baarn;2;24873;8
489;barendrecht;16;48713;32.8
203;barneveld;5;59077;8.5
888;beek;0;15868;0
1954;beekdaelen;12;35976;33.4
370;beemster;2;10025;20
889;beesel;10;13483;74.2
1945;berg en dal;15;34990;42.9
1724;bergeijk;5;18638;26.8
893;bergen (l.);3;13085;22.9
373;bergen (nh.);8;29844;26.8
748;bergen op zoom;11;67489;16.3
1859;berkelland;1;43748;2.3
1721;bernheze;57;31247;182.4
753;best;18;29985;60
209;beuningen;12;25891;46.3
375;beverwijk;5;41613;12
1728;bladel;7;20395;34.3
376;blaricum;1;11536;8.7
377;bloemendaal;3;23570;12.7
1901;bodegraven-reeuwijk;2;34869;5.7
755;boekel;21;10784;194.7
1681;borger-odoorn;1;25558;3.9
147;borne;10;23313;42.9
654;borsele;3;22738;13.2
756;boxmeer;8;29371;27.2
757;boxtel;9;30803;29.2
758;breda;113;184271;61.3
501;brielle;5;17282;28.9
1876;bronckhorst;1;36052;2.8
213;brummen;3;20756;14.5
899;brunssum;9;27817;32.4
312;bunnik;4;15191;26.3
313;bunschoten;1;21867;4.6
214;buren;5;26742;18.7
502;capelle aan den ijssel;20;67151;29.8
383;castricum;8;35988;22.2
109;coevorden;5;35296;14.2
1706;cranendonck;28;21166;132.3
1684;cuijk;5;25139;19.9
216;culemborg;13;28956;44.9
148;dalfsen;7;28585;24.5
1891;dantumadiel;0;18916;0
310;de bilt;11;43124;25.5
1940;de fryske marren;11;51567;21.3
736;de ronde venen;11;44457;24.7
1690;de wolden;2;24327;8.2
503;delft;19;103659;18.3
10;delfzijl;4;24666;16.2
400;den helder;6;56305;10.7
762;deurne;34;32474;104.7
150;deventer;21;100718;20.9
384;diemen;4;30781;13
1774;dinkelland;11;26470;41.6
221;doesburg;3;11078;27.1
222;doetinchem;5;58009;8.6
766;dongen;7;26226;26.7
505;dordrecht;26;119300;21.8
498;drechterland;1;19717;5.1
1719;drimmelen;14;27274;51.3
303;dronten;8;41569;19.2
225;druten;12;18918;63.4
226;duiven;4;25124;15.9
1711;echt-susteren;20;31618;63.3
385;edam-volendam;10;36201;27.6
228;ede;24;117166;20.5
317;eemnes;1;9247;10.8
770;eersel;11;19314;57
1903;eijsden-margraten;6;25753;23.3
772;eindhoven;46;234456;19.6
230;elburg;2;23161;8.6
114;emmen;6;107055;5.6
388;enkhuizen;13;18592;69.9
153;enschede;24;159734;15
232;epe;7;33186;21.1
233;ermelo;8;27005;29.6
777;etten-leur;21;43880;47.9
779;geertruidenberg;7;21538;32.5
1771;geldrop-mierlo;9;39733;22.7
1652;gemert-bakel;48;30725;156.2
907;gennep;9;16924;53.2
784;gilze en rijen;13;26438;49.2
1924;goeree-overflakkee;24;50049;48
664;goes;5;38080;13.1
785;goirle;16;23906;66.9
1942;gooise meren;10;58041;17.2
512;gorinchem;9;37009;24.3
513;gouda;13;73443;17.7
786;grave;10;12437;80.4
14;groningen;9;232922;3.9
1729;gulpen-wittem;2;14176;14.1
158;haaksbergen;4;24309;16.5
788;haaren;14;14371;97.4
392;haarlem;26;162961;16
394;haarlemmermeer;31;156039;19.9
1655;halderberge;9;30277;29.7
160;hardenberg;9;60940;14.8
243;harderwijk;8;48429;16.5
523;hardinxveld-giessendam;1;18295;5.5
72;harlingen;1;15720;6.4
244;hattem;3;12213;24.6
396;heemskerk;14;39188;35.7
397;heemstede;4;27239;14.7
246;heerde;17;18587;91.5
74;heerenveen;5;50494;9.9
398;heerhugowaard;17;57592;29.5
917;heerlen;24;87057;27.6
1658;heeze-leende;5;16150;31
399;heiloo;5;23974;20.9
163;hellendoorn;3;35923;8.4
530;hellevoetsluis;4;40158;10
